transaction_id,date,customer_id,product,quantity,amount
77,2024-07-08,CUST0234,Tool Pro,13,40.45
78,2024-06-30,CUST0487,Widget C,13,214.01
79,2024-04-17,CUST0175,Widget A,6,396.97
80,2024-12-09,CUST0187,Widget A,2,350.35
81,2024-05-16,CUST0423,Widget B,12,278.57
82,2024-12-25,CUST0028,Tool Lite,14,53.84
83,2024-12-15,CUST0419,Tool Pro,7,111.55
84,2024-11-27,CUST0115,Widget C,9,87.94
85,2024-02-06,CUST0433,Gadget Y,4,383.75
86,2024-11-07,CUST0233,Widget C,4,435.65
87,2024-11-21,CUST0170,Widget C,3,121.42
88,2024-03-28,CUST0287,Widget B,12,37.69
89,2024-09-30,CUST0393,Tool Lite,20,344.93
90,2024-05-05,CUST0318,Gadget Y,11,21.87
91,2024-03-24,CUST0308,Tool Lite,1,325.02
92,2024-08-24,CUST0243,Tool Pro,8,351.67
93,2024-07-13,CUST0367,Gadget Y,10,244.56
94,2024-05-18,CUST0337,Widget B,6,30.67
95,2024-11-23,CUST0187,Gadget Y,18,381.68
96,2024-12-18,CUST0367,Gadget Y,4,475.48
97,2024-10-12,CUST0232,Widget A,3,477.67
98,2024-04-22,CUST0059,Widget A,7,77.46
99,2024-12-16,CUST0050,Tool Lite,20,166.53
100,2024-06-15,CUST0389,Gadget Y,1,199.89
101,2024-01-29,CUST0338,Tool Lite,10,320.82
102,2024-04-27,CUST0114,Widget A,7,203.95
103,2024-01-17,CUST0002,Gadget Y,18,260.02
104,2024-06-10,CUST0175,Widget B,7,151.92
105,2024-07-24,CUST0182,Tool Pro,2,21.52
106,2024-05-17,CUST0425,Widget B,8,360.22
107,2024-02-03,CUST0325,Widget C,9,213.32
108,2024-04-18,CUST0494,Widget B,3,43.3
109,2024-10-17,CUST0410,Tool Lite,19,108.06
110,2024-06-10,CUST0150,Gadget Y,19,27.64
111,2024-04-18,CUST0281,Widget A,2,122.46
112,2024-12-01,CUST0268,Tool Pro,19,250.82
113,2024-09-12,CUST0192,Widget A,16,181.2
114,2024-07-21,CUST0360,Widget B,2,49.51
115,2024-11-25,CUST0055,Gadget Y,2,442.01
116,2024-08-22,CUST0024,Tool Lite,11,259.48
117,2024-03-14,CUST0460,Tool Pro,3,416.23
118,2024-05-15,CUST0085,Gadget X,10,204.62
119,2024-03-12,CUST0253,Widget C,1,84.61
120,2024-05-06,CUST0072,Tool Pro,12,13.6
121,2024-10-14,CUST0421,Gadget Y,10,317.56
122,2024-10-02,CUST0368,Widget B,13,315.17
123,2024-05-14,CUST0381,Gadget X,17,140.17
124,2024-10-26,CUST0370,Tool Pro,7,193.41
125,2024-08-07,CUST0210,Widget A,11,200.33
126,2024-10-25,CUST0055,Widget B,13,419.06
127,2024-07-23,CUST0131,Tool Lite,12,379.54
128,2024-07-04,CUST0313,Widget C,5,135.58
129,2024-04-22,CUST0101,Gadget X,4,105.93
130,2024-03-11,CUST0097,Gadget X,11,449.98
131,2024-09-17,CUST0062,Widget B,14,202.39
132,2024-09-09,CUST0477,Gadget Y,17,328.73
133,2024-02-16,CUST0437,Widget B,4,231.31
134,2024-01-25,CUST0202,Gadget X,17,228.32
135,2024-02-26,CUST0111,Widget A,5,484.19
136,2024-03-19,CUST0235,Tool Lite,1,339.2
137,2024-11-17,CUST0423,Widget C,19,387.31
138,2024-03-22,CUST0401,Widget A,13,110.25
139,2024-12-14,CUST0098,Gadget X,16,65.22
140,2024-08-04,CUST0367,Widget A,19,199.85
141,2024-11-01,CUST0174,Gadget Y,2,62.3
142,2024-02-02,CUST0056,Widget B,10,467.21
143,2024-07-16,CUST0388,Gadget X,6,110.74
144,2024-07-14,CUST0213,Tool Lite,5,382.28
145,2024-11-01,CUST0024,Widget C,15,370.49
146,2024-08-27,CUST0475,Tool Pro,3,156.32
147,2024-09-27,CUST0325,Widget C,3,347.98
148,2024-05-08,CUST0429,Gadget Y,8,115.03
149,2024-10-10,CUST0345,Tool Pro,7,300.7
150,2024-01-06,CUST0302,Widget A,5,158.65
151,2024-12-14,CUST0064,Widget A,6,237.25
152,2024-02-28,CUST0396,Widget C,17,327.44
153,2024-12-15,CUST0457,Gadget X,17,122.61
154,2024-10-01,CUST0231,Widget A,20,446.2
155,2024-05-16,CUST0235,Gadget X,17,423.35
156,2024-11-24,CUST0338,Widget C,11,116.23
157,2024-06-23,CUST0302,Gadget X,15,21.67
158,2024-02-27,CUST0490,Gadget Y,5,16.06
159,2024-05-30,CUST0259,Tool Pro,11,416.5
160,2024-08-10,CUST0069,Widget C,10,431.58
161,2024-03-21,CUST0494,Tool Pro,12,111.11
162,2024-08-20,CUST0256,Tool Lite,20,473.93
163,2024-01-02,CUST0003,Gadget X,14,200.4
164,2024-05-14,CUST0272,Widget B,2,170.41
165,2024-09-13,CUST0377,Gadget Y,13,492.27
166,2024-04-01,CUST0025,Gadget X,8,304.89
167,2024-09-16,CUST0284,Widget C,7,90.98
168,2024-02-24,CUST0479,Tool Lite,20,250.92
169,2024-11-16,CUST0222,Gadget X,20,284.81
170,2024-06-01,CUST0430,Widget B,3,149.82
171,2024-11-23,CUST0300,Tool Lite,5,493.52
172,2024-09-16,CUST0248,Widget A,19,430.11
173,2024-11-07,CUST0474,Tool Lite,16,131.77
174,2024-04-11,CUST0261,Tool Lite,4,312.02
175,2024-03-19,CUST0400,Gadget X,1,443.36
176,2024-07-10,CUST0472,Tool Pro,5,427.81
177,2024-03-23,CUST0467,Widget C,10,313.45
178,2024-10-03,CUST0091,Widget B,18,430.01
179,2024-09-28,CUST0355,Widget A,3,473.93
180,2024-01-01,CUST0297,Tool Pro,16,465.78
181,2024-11-02,CUST0089,Gadget X,4,158.69
182,2024-06-14,CUST0375,Tool Pro,15,196.9
183,2024-09-07,CUST0418,Widget A,11,288.37
184,2024-01-10,CUST0066,Gadget X,6,88.15
185,2024-02-27,CUST0054,Gadget X,10,36.23
186,2024-07-04,CUST0199,Gadget Y,6,115.5
187,2024-06-06,CUST0337,Tool Pro,3,103.48
188,2024-05-02,CUST0308,Tool Pro,9,217.35
189,2024-01-30,CUST0311,Widget A,19,439.46
190,2024-05-03,CUST0452,Widget A,12,47.29
191,2024-10-17,CUST0165,Widget B,12,214.57
192,2024-02-10,CUST0259,Gadget X,3,20.97
193,2024-02-13,CUST0452,Gadget X,3,387.52
194,2024-09-05,CUST0197,Tool Pro,6,450.28
195,2024-02-05,CUST0215,Gadget Y,15,158.0
196,2024-09-29,CUST0312,Widget A,9,138.74
197,2024-03-05,CUST0469,Tool Pro,16,465.76
198,2024-03-06,CUST0355,Widget B,9,444.81
199,2024-12-03,CUST0391,Widget A,15,402.27
200,2024-08-31,CUST0128,Widget C,5,110.29
201,2024-10-08,CUST0141,Widget B,4,460.51
202,2024-03-25,CUST0204,Widget C,19,374.69
203,2024-05-15,CUST0494,Widget B,16,344.1
204,2024-09-27,CUST0176,Gadget Y,2,24.88
205,2024-11-06,CUST0497,Tool Lite,12,466.21
206,2024-08-04,CUST0151,Gadget X,10,243.49
207,2024-04-18,CUST0232,Widget A,13,17.03
208,2024-10-03,CUST0413,Widget B,14,52.19
209,2024-12-19,CUST0069,Tool Lite,20,125.05
210,2024-04-12,CUST0071,Gadget X,5,436.2
211,2024-12-31,CUST0212,Tool Pro,15,294.09
212,2024-06-08,CUST0309,Gadget X,12,283.15
213,2024-07-23,CUST0359,Widget C,17,142.33
214,2024-12-09,CUST0454,Tool Lite,20,354.41
215,2024-11-28,CUST0384,Tool Pro,11,245.07
216,2024-07-10,CUST0263,Tool Lite,12,368.4
217,2024-08-12,CUST0154,Gadget Y,3,85.11
218,2024-09-21,CUST0432,Gadget Y,14,41.93
219,2024-08-19,CUST0360,Widget C,17,342.23
220,2024-03-02,CUST0281,Tool Lite,15,24.65
221,2024-05-06,CUST0441,Tool Lite,9,253.74
222,2024-04-25,CUST0161,Tool Lite,2,416.92
223,2024-02-02,CUST0365,Tool Pro,20,212.09
224,2024-06-22,CUST0378,Gadget X,2,486.72
225,2024-01-11,CUST0479,Widget C,8,292.61
226,2024-10-28,CUST0284,Gadget X,18,31.58
227,2024-10-10,CUST0324,Tool Pro,1,40.88
228,2024-04-27,CUST0112,Gadget Y,5,387.07
229,2024-10-28,CUST0103,Gadget X,4,147.6
230,2024-04-22,CUST0108,Gadget X,10,147.97
231,2024-01-04,CUST0320,Gadget Y,13,244.79
232,2024-02-06,CUST0366,Widget C,6,402.95
233,2024-12-28,CUST0149,Widget B,19,21.96
234,2024-11-19,CUST0352,Tool Lite,13,143.26
235,2024-01-31,CUST0177,Gadget X,3,437.28
236,2024-04-27,CUST0472,Widget A,8,125.06
237,2024-02-04,CUST0345,Widget A,13,229.51
238,2024-01-17,CUST0068,Widget C,15,10.95
239,2024-06-18,CUST0364,Gadget X,3,328.59
240,2024-02-06,CUST0333,Gadget X,12,438.03
241,2024-09-20,CUST0500,Widget B,15,419.34
242,2024-05-01,CUST0491,Tool Pro,15,223.32
243,2024-05-22,CUST0092,Widget B,18,476.55
244,2024-12-08,CUST0258,Widget A,15,249.38
245,2024-09-05,CUST0278,Widget A,4,123.45
246,2024-04-19,CUST0356,Tool Pro,3,425.74
247,2024-10-03,CUST0327,Widget A,6,33.17
248,2024-03-08,CUST0166,Tool Lite,4,188.38
249,2024-10-19,CUST0364,Widget A,13,303.04
250,2024-10-22,CUST0060,Gadget X,14,233.57
251,2024-08-30,CUST0390,Tool Pro,7,241.51
252,2024-05-04,CUST0181,Widget A,13,90.31
253,2024-08-30,CUST0288,Widget B,11,332.71
254,2024-07-27,CUST0246,Gadget X,3,191.92
255,2024-04-07,CUST0299,Gadget Y,11,280.0
256,2024-02-18,CUST0293,Tool Pro,11,81.39
257,2024-02-19,CUST0483,Widget C,20,370.25
258,2024-12-03,CUST0342,Widget B,16,179.93
259,2024-08-08,CUST0364,Widget C,7,95.24
260,2024-06-30,CUST0214,Gadget Y,16,206.87
261,2024-08-04,CUST0346,Gadget Y,4,239.07
262,2024-07-29,CUST0383,Widget A,9,180.24
263,2024-08-27,CUST0458,Tool Lite,15,153.3
264,2024-01-28,CUST0431,Widget A,2,408.97
265,2024-12-10,CUST0274,Tool Pro,18,378.31
266,2024-11-30,CUST0147,Tool Lite,5,252.31
267,2024-11-26,CUST0450,Gadget Y,16,275.71
268,2024-02-20,CUST0434,Tool Lite,5,186.56
269,2024-02-01,CUST0217,Gadget X,7,221.54
270,2024-07-25,CUST0414,Tool Lite,11,305.05
271,2024-06-22,CUST0007,Gadget X,19,443.54
272,2024-02-25,CUST0268,Widget B,2,173.07
273,2024-05-07,CUST0055,Widget C,20,185.75
274,2024-04-08,CUST0013,Tool Pro,13,238.61
275,2024-04-07,CUST0196,Gadget X,2,379.31
276,2024-10-01,CUST0075,Gadget X,12,432.28
277,2024-08-17,CUST0028,Gadget Y,14,90.5
278,2024-03-12,CUST0344,Widget C,16,30.95
279,2024-08-04,CUST0029,Gadget Y,7,258.11
280,2024-04-03,CUST0103,Widget C,2,431.26
281,2024-05-22,CUST0137,Tool Lite,7,316.28
282,2024-08-24,CUST0385,Tool Lite,1,303.41
283,2024-05-07,CUST0403,Gadget Y,14,274.7
284,2024-02-08,CUST0083,Gadget Y,9,417.69
285,2024-08-14,CUST0147,Widget A,9,88.12
286,2024-10-08,CUST0350,Tool Lite,6,401.38
287,2024-02-20,CUST0129,Widget A,3,78.37
288,2024-01-26,CUST0075,Gadget X,5,409.97
289,2024-11-29,CUST0430,Widget A,3,110.85
290,2024-10-03,CUST0032,Gadget X,9,349.68
291,2024-01-08,CUST0354,Gadget X,13,50.05
292,2024-02-17,CUST0402,Widget C,3,215.3
293,2024-05-01,CUST0152,Tool Lite,10,64.82
294,2024-03-26,CUST0105,Gadget X,15,255.68
295,2024-07-27,CUST0386,Gadget X,14,30.57
296,2024-09-05,CUST0278,Gadget X,17,60.87
297,2024-09-03,CUST0017,Widget A,7,11.98
298,2024-04-19,CUST0184,Widget A,9,467.91
299,2024-07-24,CUST0417,Widget B,6,335.67
300,2024-01-31,CUST0232,Gadget Y,2,90.7
301,2024-03-25,CUST0053,Tool Pro,3,121.12
302,2024-07-13,CUST0316,Tool Lite,14,357.78
303,2024-01-02,CUST0445,Tool Lite,11,174.1
304,2024-07-18,CUST0346,Widget C,10,67.29
305,2024-05-15,CUST0379,Tool Pro,6,368.61
306,2024-08-20,CUST0288,Widget B,7,400.49
307,2024-05-26,CUST0443,Gadget X,12,278.74
308,2024-08-04,CUST0115,Gadget X,14,203.53
309,2024-12-22,CUST0381,Widget B,16,331.88
310,2024-10-11,CUST0332,Widget C,16,202.47
311,2024-12-04,CUST0288,Tool Pro,18,292.74
312,2024-09-06,CUST0200,Gadget X,6,377.41
313,2024-03-20,CUST0122,Gadget X,14,347.02
314,2024-04-07,CUST0262,Tool Lite,12,494.1
315,2024-05-31,CUST0402,Widget A,19,120.65
316,2024-04-21,CUST0408,Gadget Y,13,325.51
317,2024-01-30,CUST0409,Tool Pro,1,86.29
318,2024-10-23,CUST0357,Gadget X,18,350.03
319,2024-10-04,CUST0148,Tool Pro,20,379.13
320,2024-02-01,CUST0355,Gadget Y,7,360.94
321,2024-06-09,CUST0341,Tool Pro,3,447.66
322,2024-01-30,CUST0025,Gadget Y,19,484.95
323,2024-01-26,CUST0475,Gadget Y,20,401.97
324,2024-10-26,CUST0196,Gadget X,5,252.65
325,2024-09-01,CUST0199,Gadget X,11,458.76
326,2024-09-14,CUST0214,Gadget Y,11,350.52
327,2024-09-28,CUST0490,Tool Lite,1,160.21
328,2024-03-21,CUST0404,Widget B,5,380.34
329,2024-01-30,CUST0500,Gadget Y,15,158.4
330,2024-09-17,CUST0351,Widget A,5,112.53
331,2024-02-11,CUST0161,Gadget X,16,322.74
332,2024-04-05,CUST0495,Widget C,11,476.26
333,2024-02-05,CUST0283,Gadget X,4,103.59
334,2024-10-31,CUST0028,Gadget Y,14,17.95
335,2024-02-04,CUST0007,Gadget X,9,154.93
336,2024-12-11,CUST0381,Gadget Y,17,111.47
337,2024-04-30,CUST0129,Tool Pro,1,415.55
338,2024-07-25,CUST0104,Widget C,15,343.44
339,2024-03-02,CUST0318,Tool Lite,5,42.84
340,2024-10-18,CUST0445,Widget C,15,231.77
341,2024-05-06,CUST0400,Widget C,19,68.29
342,2024-10-23,CUST0441,Widget A,4,472.99
343,2024-10-31,CUST0446,Widget A,2,334.18
344,2024-01-21,CUST0227,Gadget Y,7,15.18
345,2024-11-13,CUST0425,Widget A,7,302.8
346,2024-02-11,CUST0116,Widget B,14,178.15
347,2024-08-02,CUST0467,Tool Lite,18,193.71
348,2024-12-02,CUST0325,Widget C,6,158.86
349,2024-10-25,CUST0361,Widget C,20,313.44
350,2024-10-16,CUST0364,Tool Lite,13,460.58
351,2024-09-24,CUST0332,Tool Pro,7,321.26
352,2024-06-10,CUST0189,Gadget Y,12,300.73
353,2024-05-13,CUST0387,Widget A,7,342.77
354,2024-04-14,CUST0302,Tool Lite,7,488.74
355,2024-12-08,CUST0280,Tool Pro,19,255.0
356,2024-06-09,CUST0379,Widget C,1,182.23
357,2024-05-02,CUST0309,Gadget X,12,135.33
358,2024-05-15,CUST0101,Widget A,12,242.06
359,2024-07-21,CUST0398,Gadget X,1,400.94
360,2024-03-08,CUST0372,Widget C,10,378.93
361,2024-12-09,CUST0494,Widget C,10,387.2
362,2024-11-26,CUST0100,Gadget X,17,217.12
363,2024-06-02,CUST0151,Widget C,4,297.69
364,2024-08-22,CUST0230,Widget A,16,441.51
365,2024-06-10,CUST0091,Tool Pro,15,475.07
366,2024-02-07,CUST0350,Widget B,14,345.58
367,2024-01-05,CUST0039,Widget B,14,497.37
368,2024-08-22,CUST0096,Widget B,12,196.18
369,2024-11-14,CUST0493,Tool Pro,12,481.76
370,2024-10-15,CUST0089,Widget C,18,381.93
371,2024-02-21,CUST0377,Gadget Y,14,52.55
372,2024-02-07,CUST0264,Widget A,17,133.56
373,2024-10-02,CUST0062,Tool Pro,11,55.1
374,2024-04-19,CUST0194,Widget A,4,130.24
375,2024-09-16,CUST0021,Tool Lite,6,417.01
376,2024-05-15,CUST0220,Widget C,15,319.34
377,2024-03-08,CUST0143,Widget A,14,56.06
378,2024-06-27,CUST0285,Widget C,12,196.13
379,2024-02-05,CUST0136,Widget B,6,175.32
380,2024-05-05,CUST0067,Widget A,18,305.77
381,2024-07-08,CUST0083,Gadget Y,20,239.95
382,2024-05-25,CUST0300,Widget C,6,168.21
383,2024-03-21,CUST0434,Widget A,18,280.79
384,2024-08-12,CUST0131,Gadget X,14,354.98
385,2024-10-05,CUST0003,Tool Pro,13,231.09
386,2024-12-26,CUST0170,Tool Lite,10,310.72
387,2024-06-03,CUST0239,Gadget X,14,56.53
388,2024-11-09,CUST0364,Gadget Y,10,345.07
389,2024-11-30,CUST0480,Gadget Y,20,300.78
390,2024-09-27,CUST0080,Gadget X,4,340.87
391,2024-01-05,CUST0021,Widget C,3,23.84
392,2024-12-07,CUST0079,Widget A,4,258.08
393,2024-10-10,CUST0476,Tool Pro,3,43.86
394,2024-06-02,CUST0166,Gadget X,1,98.8
395,2024-12-05,CUST0306,Gadget Y,20,144.62
396,2024-02-23,CUST0027,Widget A,14,286.87
397,2024-03-09,CUST0397,Widget C,4,402.64
398,2024-05-15,CUST0478,Gadget X,16,272.47
399,2024-02-29,CUST0321,Gadget Y,20,364.92
400,2024-02-24,CUST0316,Gadget X,18,134.07
401,2024-10-10,CUST0432,Widget C,4,67.66
402,2024-03-20,CUST0339,Gadget Y,15,263.2
403,2024-05-19,CUST0155,Widget A,17,95.22
404,2024-05-24,CUST0252,Tool Lite,19,231.35
405,2024-11-05,CUST0405,Gadget X,2,428.24
406,2024-04-17,CUST0294,Widget A,10,29.51
407,2024-06-24,CUST0282,Tool Pro,14,304.55
408,2024-04-14,CUST0184,Tool Pro,7,219.1
409,2024-12-17,CUST0038,Widget B,8,346.54
410,2024-11-20,CUST0402,Widget C,15,484.6
411,2024-05-15,CUST0363,Gadget X,18,47.64
412,2024-09-15,CUST0163,Gadget Y,13,246.25
413,2024-09-07,CUST0270,Tool Lite,4,132.03
414,2024-05-08,CUST0113,Tool Lite,7,199.78
415,2024-01-27,CUST0490,Tool Pro,16,374.82
416,2024-02-17,CUST0095,Widget C,4,330.4
417,2024-11-20,CUST0267,Widget B,12,96.55
418,2024-08-04,CUST0035,Gadget Y,15,194.59
419,2024-05-21,CUST0403,Widget C,14,158.12
420,2024-01-23,CUST0259,Widget C,13,119.48
421,2024-01-02,CUST0082,Gadget X,1,434.13
422,2024-06-19,CUST0213,Widget B,12,295.95
423,2024-03-07,CUST0279,Gadget X,8,251.74
424,2024-11-22,CUST0275,Tool Pro,17,359.78
425,2024-05-14,CUST0207,Tool Lite,10,406.13
426,2024-03-23,CUST0048,Tool Lite,9,474.54
427,2024-08-14,CUST0179,Widget A,9,66.88
428,2024-10-09,CUST0114,Tool Lite,10,90.57
429,2024-12-27,CUST0453,Tool Lite,14,74.68
430,2024-08-06,CUST0110,Gadget Y,8,489.61
431,2024-10-14,CUST0340,Widget B,1,306.55
432,2024-01-05,CUST0170,Widget C,14,21.6
433,2024-02-27,CUST0170,Widget C,2,253.11
434,2024-02-08,CUST0185,Widget A,1,399.23
435,2024-12-19,CUST0151,Widget C,1,220.69
436,2024-03-17,CUST0112,Gadget Y,5,357.12
437,2024-10-06,CUST0487,Gadget X,12,449.87
438,2024-01-19,CUST0386,Tool Lite,17,190.46
439,2024-07-08,CUST0317,Widget B,20,276.31
440,2024-10-25,CUST0272,Gadget Y,11,215.13
441,2024-10-09,CUST0244,Tool Pro,11,26.43
442,2024-03-16,CUST0288,Widget A,6,223.78
443,2024-08-08,CUST0422,Tool Pro,19,354.0
444,2024-03-06,CUST0386,Tool Lite,14,42.8
445,2024-01-22,CUST0333,Gadget Y,8,52.75
446,2024-06-06,CUST0005,Widget A,18,440.11
447,2024-07-05,CUST0059,Gadget Y,13,335.7
448,2024-01-21,CUST0343,Widget C,7,242.57
449,2024-07-02,CUST0178,Widget C,20,258.49
450,2024-04-17,CUST0229,Widget A,13,129.18
451,2024-12-15,CUST0124,Gadget Y,2,464.66
452,2024-05-07,CUST0464,Tool Lite,19,77.39
453,2024-12-07,CUST0329,Gadget Y,14,21.81
454,2024-02-22,CUST0315,Gadget X,5,52.32
455,2024-06-30,CUST0471,Gadget X,13,101.53
456,2024-10-13,CUST0319,Widget B,6,106.29
457,2024-07-27,CUST0125,Widget C,13,333.33
458,2024-11-13,CUST0491,Tool Lite,11,277.5
459,2024-03-20,CUST0021,Widget A,17,283.11
460,2024-05-01,CUST0350,Tool Pro,6,244.16
461,2024-03-24,CUST0454,Tool Lite,14,485.72
462,2024-03-31,CUST0165,Widget C,8,331.57
463,2024-07-30,CUST0196,Gadget Y,4,295.24
464,2024-01-13,CUST0469,Tool Lite,5,66.77
465,2024-04-01,CUST0408,Widget C,17,29.48
466,2024-06-19,CUST0484,Gadget X,4,109.2
467,2024-07-29,CUST0059,Tool Pro,19,157.17
468,2024-12-08,CUST0198,Gadget Y,13,375.85
469,2024-05-07,CUST0132,Widget C,9,201.45
470,2024-05-16,CUST0277,Widget B,18,192.21
471,2024-03-22,CUST0371,Gadget X,6,260.0
472,2024-12-25,CUST0145,Gadget X,11,15.96
473,2024-02-25,CUST0013,Widget C,7,267.04
474,2024-07-14,CUST0467,Gadget Y,3,140.28
475,2024-01-20,CUST0265,Gadget Y,3,269.95
476,2024-08-28,CUST0421,Gadget X,1,158.64
477,2024-04-23,CUST0395,Tool Pro,14,407.62
478,2024-04-12,CUST0192,Tool Lite,1,166.57
479,2024-08-23,CUST0264,Gadget Y,19,129.4
480,2024-06-28,CUST0412,Widget B,5,245.39
481,2024-06-05,CUST0261,Widget A,1,114.64
482,2024-04-26,CUST0229,Tool Pro,20,335.38
483,2024-04-24,CUST0250,Tool Pro,18,244.35
484,2024-01-13,CUST0023,Gadget Y,3,114.92
485,2024-12-03,CUST0152,Tool Lite,19,94.48
486,2024-04-08,CUST0460,Widget B,13,280.99
487,2024-07-23,CUST0334,Gadget Y,1,317.24
488,2024-06-17,CUST0099,Gadget X,5,430.76
489,2024-05-22,CUST0165,Widget B,15,44.75
490,2024-02-05,CUST0264,Tool Pro,12,336.87
491,2024-05-22,CUST0043,Tool Lite,6,430.34
492,2024-06-28,CUST0486,Tool Pro,8,81.25
493,2024-11-24,CUST0050,Gadget X,8,382.65
494,2024-09-17,CUST0086,Widget C,10,244.07
495,2024-07-23,CUST0498,Tool Pro,7,495.03
496,2024-12-13,CUST0490,Gadget Y,18,45.57
497,2024-10-01,CUST0396,Tool Lite,8,90.72
498,2024-06-18,CUST0276,Gadget Y,13,317.2
499,2024-01-15,CUST0274,Tool Lite,9,212.62
500,2024-02-29,CUST0004,Tool Lite,2,316.56
501,2024-05-13,CUST0321,Gadget X,9,469.43
502,2024-04-01,CUST0034,Gadget Y,3,415.71
503,2024-10-24,CUST0108,Tool Pro,5,209.13
504,2024-05-15,CUST0344,Tool Pro,1,378.66
505,2024-01-20,CUST0323,Widget A,19,31.03
506,2024-02-25,CUST0397,Gadget Y,4,167.04
507,2024-11-01,CUST0110,Widget B,4,203.37
508,2024-08-10,CUST0443,Widget C,15,104.38
509,2024-06-25,CUST0351,Gadget X,20,365.98
510,2024-06-09,CUST0218,Widget B,4,193.1
511,2024-08-11,CUST0428,Widget B,4,230.42
512,2024-11-06,CUST0054,Widget B,5,419.82
513,2024-09-18,CUST0106,Tool Pro,10,120.11
514,2024-02-29,CUST0276,Tool Pro,9,454.68
515,2024-07-16,CUST0425,Tool Lite,6,244.89
516,2024-10-22,CUST0360,Widget C,3,475.2
