Date,Revenue,Expenses,Region,Category,Profit
2023-01-31,3430.1794076057536,1543.5275078719476,North,Software,1886.651899733806
2023-02-01,1682.0964947491661,1055.2695261768256,South,Hardware,626.8269685723405
2023-02-02,1260.206371941118,799.663418334207,North,Services,460.54295360691106
2023-02-03,4795.542149013333,1344.0379285090698,West,Hardware,3451.5042205042632
2023-02-04,4862.528132298237,2857.274259781298,West,Services,2005.2538725169393
2023-02-05,4233.589392465845,1308.007330051888,West,Hardware,2925.582062413957
2023-02-06,2218.4550766934826,1796.9765543584153,West,Software,421.4785223350673
2023-02-07,1390.6884560255355,2257.5473972379446,West,Software,-866.858941212409
2023-02-08,3736.9321060486277,1409.074005948235,East,Hardware,2327.8581001003927
2023-02-09,2760.6099749584055,2929.455206802402,East,Services,-168.84523184399632
2023-02-10,1488.1529393791152,2906.118237355278,North,Software,-1417.9652979761627
2023-02-11,2980.707640445081,1129.4557395634104,West,Software,1851.2519008816705
2023-02-12,1137.5540844608736,1743.1212647309637,North,Software,-605.5671802700901
2023-02-13,4637.281608315128,1252.195774541924,West,Hardware,3385.0858337732043
2023-02-14,2035.1199264000677,1212.101235943669,West,Hardware,823.0186904563986
2023-02-15,3650.089137415928,592.2173683863319,East,Services,3057.8717690295957
2023-02-16,2246.8443043576435,2023.9108349497421,East,Services,222.93346940790138
2023-02-17,3080.272084711243,1756.6975580721537,South,Services,1323.5745266390895
2023-02-18,3186.841117373119,628.6968781249734,East,Hardware,2558.1442392481454
2023-02-19,1739.4178221021082,1196.6161605915286,South,Hardware,542.8016615105796
2023-02-20,4878.338511058235,2770.6647149166342,South,Services,2107.6737961416006
2023-02-21,4100.531293444458,1098.904726667431,South,Services,3001.626566777027
2023-02-22,4757.995766256756,862.2371802280577,South,Hardware,3895.758586028698
2023-02-23,4579.309401710596,1723.6319006939075,South,Services,2855.6775010166884
2023-02-24,3391.5999152443405,2964.126135276502,North,Software,427.4737799678387
2023-02-25,4687.496940092467,1105.138178778751,East,Hardware,3582.3587613137165
2023-02-26,1353.970008207678,2180.3388685146965,South,Services,-826.3688603070186
2023-02-27,1783.9314496765808,2404.049038321794,West,Hardware,-620.1175886452131
2023-02-28,1180.9091556421522,1094.0938599809992,East,Software,86.81529566115296
2023-03-01,2301.3213230530573,2320.540871529649,East,Hardware,-19.219548476591626
2023-03-02,2554.709158757928,1419.4578317981332,South,Hardware,1135.2513269597948
2023-03-03,2085.3961270955833,2080.764576483949,North,Hardware,4.631550611634339
2023-03-04,4314.950036607717,2083.8242769022368,South,Hardware,2231.1257597054805
2023-03-05,2427.0133067743573,1839.436710186896,North,Software,587.5765965874612
2023-03-06,2123.738038749523,725.7244251360207,West,Hardware,1398.0136136135025
2023-03-07,3170.784332632994,2588.256238973095,East,Hardware,582.5280936598988
2023-03-08,1563.6968998990505,1301.9501624293396,West,Services,261.746737469711
2023-03-09,4208.787923016159,966.2962759996356,North,Hardware,3242.4916470165235
2023-03-10,1298.2025747190833,601.9378538869098,North,Services,696.2647208321735
2023-03-11,4947.54774640207,1977.2323579706044,West,Software,2970.315388431465
2023-03-12,4088.9790771866296,2193.910904605706,North,Software,1895.0681725809236
2023-03-13,1794.8627261366896,541.4695723196404,West,Software,1253.393153817049
2023-03-14,1022.0884684944097,1780.2326457482025,East,Software,-758.1441772537928
2023-03-15,4261.845713819337,1066.239437994845,West,Services,3195.606275824492
2023-03-16,3827.4293753904685,2112.931976023625,East,Hardware,1714.4973993668436
2023-03-17,3916.028672163949,935.9160725124786,West,Software,2980.11259965147
2023-03-18,4085.081386743783,2227.344345256165,North,Hardware,1857.7370414876177
2023-03-19,1296.1786069363616,1466.8383657513436,West,Services,-170.65975881498207
2023-03-20,2433.8629141770907,2841.8249718418365,North,Services,-407.96205766474577
2023-03-21,1463.476238100519,843.8023603649831,West,Services,619.6738777355358
2023-03-22,4452.413703502374,1352.6658776256463,West,Software,3099.747825876728
2023-03-23,3493.1925073102316,783.6838031014727,South,Hardware,2709.508704208759
2023-03-24,2323.592099410597,2811.734045696407,North,Hardware,-488.14194628581026
2023-03-25,1254.2334011440946,2693.3483834524527,South,Hardware,-1439.114982308358
2023-03-26,2243.929286862649,1144.8540692878892,North,Services,1099.0752175747598
2023-03-27,2300.733288106988,2149.960115085448,South,Software,150.77317302154006
2023-03-28,3918.4247133522563,2543.0555005030396,East,Services,1375.3692128492166
2023-03-29,3550.2298854208525,1888.0020289986558,West,Services,1662.2278564221967
2023-03-30,4548.850970305306,1824.1264458900162,North,Hardware,2724.72452441529
2023-03-31,2888.859700647797,1104.6307272511292,North,Services,1784.228973396668
2023-04-01,1478.3769837532068,732.756919514748,West,Hardware,745.6200642384588
2023-04-02,3852.97914889198,2743.039394883317,North,Software,1109.939754008663
2023-04-03,4043.14019446759,2751.045142908326,North,Hardware,1292.095051559264
2023-04-04,3245.108790277985,2082.7536431831695,South,Software,1162.3551470948155
2023-04-05,4083.868719818244,1347.5744776217516,North,Hardware,2736.294242196492
2023-04-06,2975.182385457563,1373.0239365316522,East,Services,1602.158448925911
2023-04-07,3090.9313175279763,2314.8891971755984,East,Services,776.0421203523779
2023-04-08,2710.1640734341986,2742.775649881443,West,Software,-32.61157644724426
2023-04-09,1101.6765069763808,2717.716060662793,North,Software,-1616.0395536864123
2023-04-10,1431.5657079732177,2449.6888646440593,West,Software,-1018.1231566708416
